prueba,dpr,ruido,arpu_base,arpu_dyn,uplift,ic_low,ic_high,pct_sig
catalogo_comun,cz_final,±25%,64.82,85.68,32.41,30.2,34.62,100.0
check_cz_raw,cz_raw,±25%,156.43,272.44,74.28,72.38,76.19,100.0
